FIRSTNAME MIDDLENAME LASTNAME HOMEROOM
Anastasia A. Hostess A111
Harry B. Wood A111
Richard C. Verylonglastnamedindividual A111
Gary D. Solar A111
Nelda E. Pan A111
Ana F. Muller A111
Thomas2 G. Despierto A111
Steve H. Longnamedfellow A111
Michael I. Esperanto A111
Richard J. O'Later A111
Ana K. Smiles A111
Abe L. Pommel A111
Liezl M. Rivers A111
Peter N. Forest A111
James O. Florid A111
Stephanie P. Twirl A111
Brandon Q. Padrazo A111
Luisa R. Cocinera A111
Paul S. Humble A111
Maria T. Cara A111
John U. Nivel A111
Larry V. Online A111
Johnny W. Musical A111
Erica X. Sprightly A111
Brian Y. Carpintero A111
Jake Z. Reader B222
Naranja A. Grant A111
Manzana B. Wood B222
Platano C. Verylonglastnamedindividual B222
Merengue D. Solar B222
Justicia E. Pan B222
Flor F. Muller B222
Carroza G. Grant B222
Mango H. Longnamedfellow B222
Pistola I. Esperanto B222
Enano J. Later B222
Bosque K. Smiles B222
Panuelo L. Pummel B222
Calcetin M. Rios B222
Pelo N. Forest B222
Pierna O. Florid B222
Mano P. Twirl B222
Nariz Q. Fatherly B222
Ojo R. Cook B222
Boca S. Humble B222
Coche T. Harlow B222
Autobus U. Rapido B222
Rueda V. Online B222
Clavo W. Musical B222
Madera X. Sprightly B222
Poste Y. Carpenter B222
Comida Z. Reader C333
Frances A. Graduada B222
Henry B. Wood C333
Rumplestilskin C. Verylonglastnamedindividual C333
Kayla D. Solar C333
Eugene E. Pan C333
Kent F. Muller C333
Bruce G. Grant C333
Ambrosia H. Longnamedfellow C333
Fugato I. Esperanto C333
Hercules J. Later C333
Fern K. Smiles C333
Samantha L. Pommels C333
Andy M. Rios C333
Ruth N. Forest C333
Kate Lyn O. Doublefirstname C333
Melissa P. Twirl C333
Lisa Q. Fatherly C333
Elise R. Cook C333
Pamela S. Mc Doublelastname C333
Sharon T. Harlow C333
Robert U. Marlow C333
Ralph V. Online C333
Shirley W. Musical C333
Laverne X. Sprightly C333
Russell Y. Carpenter C333
Arnold Z. Reader C333
